No,Sample,GH,Aver_Z,AverW_Z,Max_Z,Min_Z,Std0_Z,Std1_Z,Std0W_Z,Std1W_Z,Aver_Eg,AverW_Eg,Max_Eg,Min_Eg,Std0_Eg,Std1_Eg,Std0W_Eg,Std1W_Eg,Aver_Ip1,AverW_Ip1,Max_Ip1,Min_Ip1,Std0_Ip1,Std1_Ip1,Std0W_Ip1,Std1W_Ip1,Aver_Ip2,AverW_Ip2,Max_Ip2,Min_Ip2,Std0_Ip2,Std1_Ip2,Std0W_Ip2,Std1W_Ip2,Aver_Ea,AverW_Ea,Max_Ea,Min_Ea,Std0_Ea,Std1_Ea,Std0W_Ea,Std1W_Ea,Aver_Homo,AverW_Homo,Max_Homo,Min_Homo,Std0_Homo,Std1_Homo,Std0W_Homo,Std1W_Homo,Aver_Lumo,AverW_Lumo,Max_Lumo,Min_Lumo,Std0_Lumo,Std1_Lumo,Std0W_Lumo,Std1W_Lumo,Aver_Ros,AverW_Ros,Max_Ros,Min_Ros,Std0_Ros,Std1_Ros,Std0W_Ros,Std1W_Ros,Aver_Rop,AverW_Rop,Max_Rop,Min_Rop,Std0_Rop,Std1_Rop,Std0W_Rop,Std1W_Rop,Aver_Rod,AverW_Rod,Max_Rod,Min_Rod,Std0_Rod,Std1_Rod,Std0W_Rod,Std1W_Rod,Aver_Ra,AverW_Ra,Max_Ra,Min_Ra,Std0_Ra,Std1_Ra,Std0W_Ra,Std1W_Ra,Aver_Rv,AverW_Rv,Max_Rv,Min_Rv,Std0_Rv,Std1_Rv,Std0W_Rv,Std1W_Rv,Aver_Rc,AverW_Rc,Max_Rc,Min_Rc,Std0_Rc,Std1_Rc,Std0W_Rc,Std1W_Rc,Aver_Vl,AverW_Vl,Max_Vl,Min_Vl,Std0_Vl,Std1_Vl,Std0W_Vl,Std1W_Vl,Aver_Pc,AverW_Pc,Max_Pc,Min_Pc,Std0_Pc,Std1_Pc,Std0W_Pc,Std1W_Pc,Aver_Pc18,AverW_Pc18,Max_Pc18,Min_Pc18,Std0_Pc18,Std1_Pc18,Std0W_Pc18,Std1W_Pc18,Aver_Pr,AverW_Pr,Max_Pr,Min_Pr,Std0_Pr,Std1_Pr,Std0W_Pr,Std1W_Pr,Aver_Uo,AverW_Uo,Max_Uo,Min_Uo,Std0_Uo,Std1_Uo,Std0W_Uo,Std1W_Uo,Aver_Plz,AverW_Plz,Max_Plz,Min_Plz,Std0_Plz,Std1_Plz,Std0W_Plz,Std1W_Plz,Aver_M,AverW_M,Max_M,Min_M,Std0_M,Std1_M,Std0W_M,Std1W_M,Aver_Mel,AverW_Mel,Max_Mel,Min_Mel,Std0_Mel,Std1_Mel,Std0W_Mel,Std1W_Mel,Aver_Boi,AverW_Boi,Max_Boi,Min_Boi,Std0_Boi,Std1_Boi,Std0W_Boi,Std1W_Boi,Aver_de,AverW_de,Max_de,Min_de,Std0_de,Std1_de,Std0W_de,Std1W_de
148,Y_Sn_P,-3.56669585,34.66666667,28.42857143,50,15,14.61354014,17.89785834,15.88928531,19.4603207,1.79,1.985714286,2.19,1.22,0.413843771,0.506853036,0.457788978,0.560674703,773.4666667,866.3428571,1011.8,600,174.2614383,213.4258029,197.4665431,241.8461359,1499.6,1661.657143,1907,1180,303.2203599,371.3675807,343.8096919,421.0791568,-0.589933333,-1.0564,0.6624,-1.5964,0.938396566,1.149296382,1.047940488,1.283459738,-3.906233333,-4.5617,-2.5187,-5.5066,1.22905387,1.505277424,1.392914199,1.705964522,2.0341,3.083071429,4.1941,-0.9887,2.202070517,2.696974572,2.439150594,2.98733718,1.228233333,1.035928571,1.7851,0.8336,0.40503317,0.496062298,0.448367026,0.549135216,1.424933333,1.220542857,1.9482,0.9712,0.401877604,0.492197535,0.450867027,0.552197078,0.943066667,1.0786,1.4172,0.4694,0.38693787,0.473900172,0.409988049,0.50213076,1.363333333,1.24,1.62,1.06,0.230988215,0.282901632,0.261852376,0.320702354,1.089733333,1.076885714,1.3554,0.9426,0.188217203,0.230518054,0.18865518,0.231054464,1.453333333,1.28,1.9,1.07,0.34179266,0.418608807,0.383231871,0.469361268,7.333333333,7.285714286,14,3,4.784233365,5.859465277,4.784470343,5.859755515,4,4.428571429,5,3,0.816496581,1,0.922138892,1.129384879,10.66666667,13,15,3,5.436502143,6.658328118,5.916079783,7.245688373,4.333333333,3.857142857,5,3,0.942809042,1.154700538,1.056241572,1.293626448,5.333333333,4.142857143,9,3,2.624669291,3.214550254,2.882034429,3.529756886,78.09,52.2,153,24.93,54.49940734,66.74786963,60.33636963,73.89665926,79.52986733,64.31726971,118.71,30.973762,36.42657924,44.6132661,39.47554688,48.34747358,1055.743333,894.5371429,1799,505.08,545.5128386,668.1140514,568.833625,696.6760649,2210.383333,1595.085714,3203,553.15,1179.466755,1444.54586,1330.313116,1629.294166,4.553333333,3.784857143,7.365,1.823,2.263242855,2.77189508,2.390151434,2.927325711
104,Y_Sn_As,-1.92951981,40.66666667,38.71428571,50,33,7.039570694,8.621678104,7.305295815,8.947123583,1.786666667,1.98,2.18,1.22,0.410636363,0.502924779,0.453872229,0.555877684,751.8666667,829.3142857,947,600,144.9281508,177.5000094,164.3237736,201.254699,1463.266667,1599.371429,1798,1180,254.9086285,312.1980354,288.9687096,353.912945,-0.591966667,-1.059885714,0.6624,-1.6025,0.940579262,1.151969628,1.050541567,1.286645396,-3.802833333,-4.384442857,-2.5187,-5.1964,1.095901779,1.342200083,1.240673344,1.519508315,2.035266667,3.085071429,4.1976,-0.9887,2.203215215,2.698376535,2.440542423,2.989041816,1.235633333,1.048614286,1.7851,0.8558,0.397895483,0.487320452,0.439655478,0.538465792,1.451433333,1.265971429,1.9482,1.0507,0.372642244,0.456391678,0.416243151,0.509791664,0.5548,0.413,0.9426,0.2524,0.288171107,0.352936085,0.321169467,0.393350658,1.406666667,1.314285714,1.62,1.19,0.175562588,0.215019379,0.198384633,0.242970562,1.116233333,1.122314286,1.3554,0.9426,0.174779715,0.21406056,0.174885468,0.21419008,1.493333333,1.348571429,1.9,1.19,0.298923996,0.366105631,0.332131848,0.406776778,10.66666667,13,15,3,5.436502143,6.658328118,5.916079783,7.245688373,4,4.428571429,5,3,0.816496581,1,0.922138892,1.129384879,10.66666667,13,15,3,5.436502143,6.658328118,5.916079783,7.245688373,4.666666667,4.428571429,5,4,0.471404521,0.577350269,0.528120786,0.646813224,5.333333333,4.142857143,9,3,2.624669291,3.214550254,2.882034429,3.529756886,79.71333333,54.98285714,153,29.8,52.94207233,64.84053156,58.43337638,71.56597804,94.179145,89.43031714,118.71,74.921595,18.26128715,22.36541778,18.86865057,23.10928301,1130.41,1022.537143,1799,505.08,529.1255757,648.0438352,540.0096556,661.3740562,2321.716667,1785.942857,3203,887.15,1023.191784,1253.14889,1154.978356,1414.553818,5.854666667,6.015714286,7.365,4.472,1.184507305,1.450719247,1.195405325,1.464066541
94,Sc_C_N,-1.92274204,11.33333333,8.714285714,21,6,6.847546195,8.386497084,7.331323163,8.979000444,2.316666667,2.66,3.04,1.36,0.705423435,0.863963734,0.784538081,0.960858991,1040.633333,1202.185714,1402.3,633.1,315.6949723,386.6457983,354.6300711,434.3313609,2147.866667,2480.6,2856,1235,677.4201322,829.6668327,754.7247887,924.3453143,-0.516333333,-1.041485714,0.8386,-1.6769,1.03610452,1.268963697,1.161592699,1.422654701,-5.203633333,-6.023671429,-3.2357,-7.0898,1.574491673,1.928350602,1.775242661,2.174219345,2.571533333,3.416971429,4.1526,-0.1844,1.955782199,2.395334217,2.130692278,2.609554439,0.942833333,0.725514286,1.6506,0.5361,0.50232351,0.615218143,0.547317529,0.670324336,0.925033333,0.708285714,1.623,0.5154,0.496015136,0.607491994,0.541304485,0.662959892,0.9768,1.101128571,1.214,0.5809,0.281771976,0.345098783,0.307982208,0.37719963,0.986666667,0.854285714,1.44,0.75,0.320659044,0.392725519,0.346910563,0.424876933,0.577666667,0.559414286,0.6367,0.5154,0.049573268,0.060714606,0.052826682,0.064699207,1.056666667,0.865714286,1.7,0.71,0.455363103,0.557703625,0.493779675,0.604754124,4,4.428571429,5,3,0.816496581,1,0.922138892,1.129384879,4,4.428571429,5,3,0.816496581,1,0.922138892,1.129384879,10.66666667,13,15,3,5.436502143,6.658328118,5.916079783,7.245688373,2.666666667,2.285714286,4,2,0.942809042,1.154700538,1.016864595,1.245399698,5.333333333,4.142857143,9,3,2.624669291,3.214550254,2.882034429,3.529756886,41.95333333,22.84571429,107,7.6,46.01920276,56.36178256,49.82838677,61.02706114,23.65796933,17.85798686,44.955908,12.011,15.08194611,18.47153615,16.15874052,19.79033458,1883.433333,1373.271429,3773.15,63.15,1515.396701,1855.974337,1598.966019,1958.325431,2762.17,1945.534286,5100.15,77.36,2065.159095,2529.29301,2220.760225,2719.864697,1.595417,0.941429143,2.985,0.001251,1.226670338,1.502358205,1.390115188,1.702536447
123,Y_Ge_N,-1.77748416,26,18.71428571,39,7,13.73559852,16.82260384,15.54825712,19.04264816,2.09,2.485714286,3.04,1.22,0.745162175,0.912633552,0.843715866,1.03333668,921.4333333,1104.742857,1402.3,600,346.3962695,424.2470546,391.9091184,479.9886828,1857.833333,2239.857143,2856,1180,720.7422486,882.7253725,815.7276383,999.0582415,-0.575533333,-1.067057143,0.6624,-1.6769,0.95988505,1.175614292,1.07841317,1.320780999,-4.5011,-5.523928571,-2.5187,-7.0898,1.914756481,2.34508818,2.170822578,2.658703819,2.195833333,3.209842857,4.1526,-0.9887,2.271387192,2.781869814,2.487451525,3.046493498,1.081066667,0.824785714,1.7851,0.5361,0.522160195,0.63951302,0.581662441,0.712388092,1.2119,0.907714286,1.9482,0.5154,0.585614771,0.717228687,0.659904242,0.808214336,0.807733333,0.904542857,1.214,0.2666,0.39835784,0.487886722,0.409952501,0.502087223,1.196666667,1.008571429,1.62,0.75,0.355559028,0.435469096,0.402246244,0.492649024,0.8767,0.764057143,1.1721,0.5154,0.272116188,0.333272906,0.29450914,0.360698558,1.27,1.02,1.9,0.71,0.488330489,0.598080262,0.54860429,0.67190029,7.333333333,7.285714286,14,3,4.784233365,5.859465277,4.784470343,5.859755515,4,4.428571429,5,3,0.816496581,1,0.922138892,1.129384879,10.66666667,13,15,3,5.436502143,6.658328118,5.916079783,7.245688373,3.666666667,3,5,2,1.247219129,1.527525232,1.414213562,1.732050808,5.333333333,4.142857143,9,3,2.624669291,3.214550254,2.882034429,3.529756886,66.67666667,37.46571429,153,7.6,62.40766851,76.43347194,68.90570969,84.39191455,58.51428,41.45626286,88.90584,14.007,32.16519052,39.39415213,36.40845273,44.59106575,1024.516667,639.2,1799,63.15,720.8734706,882.886086,817.3906619,1001.095021,2128.786667,1389.205714,3203,77.36,1451.118138,1777.249498,1628.718464,1994.764586,3.265417,2.160429143,5.323,0.001251,2.334114394,2.858694633,2.582457777,3.162851918
126,Ru_Ge_N,-1.71571826,27.66666667,19.42857143,44,7,15.41283736,18.87679351,17.47632023,21.40403357,2.416666667,2.625714286,3.04,2.01,0.447536467,0.548117992,0.493953233,0.604966688,958.1666667,1120.485714,1402.3,710.2,314.7608863,385.5017812,354.1495288,433.7428191,2004.5,2302.714286,2856,1537.5,603.0427016,738.5734561,672.7497753,823.9468371,-1.151466667,-1.313885714,-0.7121,-1.6769,0.398551848,0.488124332,0.430376025,0.527100829,-4.8602,-5.677828571,-3.596,-7.0898,1.581277433,1.936661426,1.780155836,2.180236731,2.896466667,3.510114286,4.1526,1.1132,1.295605458,1.58678614,1.433581844,1.755772011,0.981633333,0.782171429,1.4868,0.5361,0.390405536,0.478147177,0.438407953,0.536937893,1.0785,0.850542857,1.548,0.5154,0.42672115,0.52262454,0.483792723,0.592522657,0.7093,0.862357143,1.214,0.2666,0.389251153,0.476733353,0.418261819,0.512264017,1.076666667,0.957142857,1.26,0.75,0.231564726,0.28360771,0.260591948,0.319158652,0.778266667,0.721871429,1.1721,0.5154,0.283640528,0.347387281,0.289192621,0.354187179,1.123333333,0.957142857,1.46,0.71,0.31094837,0.380832422,0.352573628,0.431812743,9,8,14,5,3.741657387,4.582575695,3.872983346,4.74341649,5.666666667,5.142857143,8,4,1.699673171,2.081665999,1.778557085,2.178278669,12.33333333,13.71428571,15,8,3.091206165,3.785938897,3.385643961,4.146550078,3.666666667,3,5,2,1.247219129,1.527525232,1.414213562,1.732050808,3.666666667,3.428571429,4,3,0.471404521,0.577350269,0.528120786,0.646813224,37.34333333,24.89428571,65,7.6,23.47985851,28.75683629,26.57597679,32.54879127,62.569,43.194,101.07,14.007,36.24830371,44.39492407,41.10146162,50.33880432,1293.85,754.6285714,2607,63.15,1040.157587,1273.92767,1171.617495,1434.932518,2535.453333,1563.491429,4423,77.36,1819.393558,2228.292929,2062.741589,2526.332182,5.924750333,3.300143429,12.45,0.001251,5.099961798,6.246152057,5.735692787,7.024760325
100,Ir_Ge_N,-1.69060741,38.66666667,24.14285714,77,7,28.96357866,35.47299442,32.40107918,39.68305555,2.416666667,2.625714286,3.04,2.01,0.447536467,0.548117992,0.493953233,0.604966688,1014.766667,1144.742857,1402.3,762,278.2295974,340.7602725,307.0920367,376.1093969,1997.833333,2299.857143,2856,1537.5,607.3516737,743.8508475,678.3026147,830.7476486,-1.643333333,-1.524685714,-0.7121,-2.541,0.747022464,0.914911932,0.756386026,0.926379906,-5.558233333,-5.976985714,-3.8948,-7.0898,1.307681884,1.60157668,1.373093393,1.681689091,2.694366667,3.4235,4.1526,0.5069,1.575144028,1.92914957,1.735717179,2.125810714,0.818233333,0.712142857,0.9966,0.5361,0.201809652,0.247165336,0.227996326,0.279237331,1.052333333,0.839328571,1.4695,0.5154,0.398609871,0.488195395,0.451952273,0.553526229,0.724833333,0.869014286,1.214,0.2666,0.387392431,0.474456893,0.413353411,0.50625247,1.113333333,0.972857143,1.37,0.75,0.264112771,0.323470761,0.299147314,0.366379139,0.7938,0.728528571,1.1721,0.5154,0.277246858,0.339556667,0.284826578,0.34883989,1.106666667,0.95,1.41,0.71,0.293295452,0.359212101,0.332515664,0.407246854,14,10.14285714,23,5,7.348469228,9,8.299250028,10.16446391,6,5.285714286,9,4,2.160246899,2.645751311,2.275273774,2.786629886,12.66666667,13.85714286,15,9,2.624669291,3.214550254,2.882034429,3.529756886,4,3.142857143,6,2,1.632993162,2,1.844277784,2.258769757,3.333333333,3.285714286,4,3,0.471404521,0.577350269,0.473803541,0.580288457,32.67666667,22.89428571,51,7.6,18.35021586,22.47433277,20.79484069,25.46837449,92.95133333,56.215,192.217,14.007,74.15937103,90.82630933,82.75971543,101.359537,1337.85,773.4857143,2739,63.15,1096.064325,1342.399161,1232.827665,1509.89936,2628.12,1603.205714,4701,77.36,1917.600703,2348.571626,2174.314087,2662.980027,9.294750333,4.744429143,22.56,0.001251,9.628270514,11.79217493,10.64936693,13.04275753
106,Sc_Si_N,-1.55879888,14,11,21,7,5.715476066,7,6.454972244,7.90569415,2.1,2.474285714,3.04,1.36,0.700285656,0.857671266,0.794033876,0.972488917,940.6333333,1116.471429,1402.3,633.1,332.4003343,407.1056046,376.0439043,460.5578432,1889.366667,2259.028571,2856,1235,697.6355798,854.4255985,789.5222138,966.9632822,-0.5482,-1.0688,0.8386,-1.6769,1.043039395,1.27745715,1.165742484,1.427737129,-4.802133333,-5.679528571,-3.2357,-7.0898,1.654016292,2.025747971,1.872322702,2.293117627,2.570866667,3.4164,4.1526,-0.1844,1.955381909,2.394843964,2.130362651,2.609150732,1.044433333,0.8126,1.6506,0.5361,0.460221746,0.563654223,0.515316165,0.63113083,1.092966667,0.852228571,1.623,0.5154,0.453423278,0.555327834,0.513368775,0.628745775,0.9856,1.108671429,1.214,0.5809,0.286955479,0.351447251,0.312233924,0.382406897,1.1,0.951428571,1.44,0.75,0.281780056,0.345108679,0.318549006,0.390141262,0.7456,0.703357143,1.1405,0.5154,0.280513897,0.343557957,0.283676763,0.34743166,1.173333333,0.965714286,1.7,0.71,0.406639343,0.49802945,0.456575541,0.559188552,4,4.428571429,5,3,0.816496581,1,0.922138892,1.129384879,4,4.428571429,5,3,0.816496581,1,0.922138892,1.129384879,10.66666667,13,15,3,5.436502143,6.658328118,5.916079783,7.245688373,3,2.571428571,4,2,0.816496581,1,0.922138892,1.129384879,5.333333333,4.142857143,9,3,2.624669291,3.214550254,2.882034429,3.529756886,50.63666667,30.28857143,107,7.6,41.65965301,51.02244637,46.36347343,56.78342631,29.01596933,22.45055829,44.955908,14.007,12.65197625,15.49544302,14.25402137,17.45753957,1188.05,777.2285714,1814,63.15,797.1123959,976.2593188,896.7510345,1098.29123,2241.453333,1499.205714,3538,77.36,1540.234877,1886.394767,1709.752908,2094.011105,1.771750333,1.092572,2.985,0.001251,1.280256463,1.567987537,1.449254919,1.774967529
139,Y_Si_N,-1.51094807,20,13.57142857,39,7,13.73559852,16.82260384,15.16552661,18.57390093,2.053333333,2.454285714,3.04,1.22,0.750880964,0.91963761,0.851225607,1.042534197,929.6,1111.742857,1402.3,600,342.8114448,419.8565588,388.1954496,475.440386,1871.033333,2251.171429,2856,1180,715.0951467,875.8091135,809.8555676,991.866453,-0.606933333,-1.093971429,0.6624,-1.6769,0.965363981,1.182324585,1.081264871,1.324273606,-4.563133333,-5.5771,-2.5187,-7.0898,1.897041652,2.323392034,2.15102195,2.634453102,2.302766667,3.3015,4.1526,-0.9887,2.33337687,2.857791354,2.538132362,3.108564593,1.089266667,0.831814286,1.7851,0.5361,0.519785586,0.636604731,0.580050674,0.710414088,1.201366667,0.898685714,1.9482,0.5154,0.586519408,0.718336636,0.660015738,0.80835089,1.106166667,1.160342857,1.214,0.9426,0.117598592,0.144028273,0.129477753,0.158577214,1.16,0.977142857,1.62,0.75,0.356931366,0.43714986,0.401044554,0.491177261,0.866166667,0.755028571,1.1405,0.5154,0.260856338,0.319482462,0.283544891,0.347270151,1.24,0.994285714,1.9,0.71,0.494435705,0.605557594,0.552125146,0.676212441,4,4.428571429,5,3,0.816496581,1,0.922138892,1.129384879,4,4.428571429,5,3,0.816496581,1,0.922138892,1.129384879,10.66666667,13,15,3,5.436502143,6.658328118,5.916079783,7.245688373,3.333333333,2.714285714,5,2,1.247219129,1.527525232,1.392399192,1.705333769,5.333333333,4.142857143,9,3,2.624669291,3.214550254,2.882034429,3.529756886,65.97,36.86,153,7.6,62.72339649,76.82015816,69.14923403,84.69016974,43.66594667,28.72912,88.90584,14.007,32.50162542,39.80619905,35.76960226,43.80863692,1183.05,775.0857143,1799,63.15,793.2078364,971.4772295,891.9717092,1092.437776,2272.786667,1512.634286,3538,77.36,1558.41371,1908.659199,1733.921836,2123.611876,2.267417,1.305000571,4.472,0.001251,1.825695028,2.236010623,2.063833258,2.527669199
109,Pt_Si_As,-1.35301543,41.66666667,34,78,14,26.83695628,32.86842456,27.91057147,34.18332927,2.12,2.114285714,2.28,1.9,0.160831174,0.196977156,0.160932656,0.197101445,867.8333333,890.1428571,947,786.5,65.54175938,80.27193366,69.23465227,84.79478529,1722.033333,1733.885714,1798,1577.1,102.523179,125.5647376,103.2060132,126.4010353,-1.541033333,-1.462414286,-0.8063,-2.2143,0.576454458,0.706009641,0.581790939,0.712545469,-4.8631,-4.8942,-4.0809,-5.312,0.55510868,0.679866509,0.555979187,0.680932658,2.9211,3.585785714,4.1976,0.8213,1.496265928,1.832544021,1.637259547,2.005225234,0.9301,0.900614286,0.9879,0.8558,0.05517723,0.067578029,0.062561442,0.076621805,1.2211,1.136557143,1.4721,1.0507,0.181230535,0.221961168,0.199980002,0.244924482,0.695,0.572014286,1.1619,0.2524,0.371699188,0.455236675,0.39151727,0.479508768,1.193333333,1.18,1.28,1.11,0.069442222,0.085049005,0.070710678,0.08660254,0.953966667,1.022071429,1.1405,0.6707,0.203627132,0.249391286,0.214714386,0.262970343,1.22,1.191428571,1.36,1.11,0.104243305,0.127671453,0.108087896,0.132380096,14.33333333,13.14285714,24,4,8.178562764,10.0166528,8.264751808,10.12221239,6.333333333,5.428571429,10,4,2.624669291,3.214550254,2.776235399,3.400180067,13,14,15,10,2.160246899,2.645751311,2.380476143,2.915475947,4.333333333,4,6,3,1.247219129,1.527525232,1.290994449,1.58113883,3,3.142857143,4,2,0.816496581,1,0.828899771,1.015190743,37.03666667,33.97428571,44,29.8,5.800346733,7.103944913,6.559130988,8.033262039,99.36353167,78.70576857,195.084,28.085,70.3335989,86.14071454,73.30455859,89.77938218,1605.183333,1394.857143,2041.4,1087.15,393.8432352,482.3574824,446.4858344,546.8312358,2841.05,2103.228571,4098,887.15,1400.403253,1715.136702,1582.880201,1938.624409,9.835333333,7.002285714,21.45,2.329,8.329144107,10.20107653,8.797772466,10.77502671
117,Os_Si_N,-1.35016873,32.33333333,18.85714286,76,7,31.00895928,37.97806384,33.8106975,41.40947836,2.38,2.594285714,3.04,1.9,0.482493523,0.590931468,0.527937844,0.646589167,1009.6,1146.028571,1402.3,786.5,278.5384833,341.1385789,310.1555122,379.8613729,2011.033333,2311.171429,2856,1577.1,597.5547971,731.8521731,668.6962029,818.982245,-1.4426,-1.452114286,-0.8063,-1.8446,0.455111041,0.557394914,0.455210481,0.557516701,-5.725533333,-6.075271429,-4.0809,-7.0898,1.244273256,1.523917289,1.292490878,1.582971575,2.6095,3.432957143,4.1526,-0.0685,1.900950606,2.328179506,2.071640623,2.537231229,0.932766667,0.764742857,1.3156,0.5361,0.31837984,0.389934076,0.359996837,0.44090428,1.055166667,0.836028571,1.5096,0.5154,0.410341113,0.502563173,0.465189567,0.569738537,1.031633333,1.1284,1.214,0.719,0.222086024,0.271998719,0.242251914,0.29669679,1.046666667,0.928571429,1.28,0.75,0.220957512,0.27061658,0.250536839,0.306843708,0.791633333,0.723085714,1.1405,0.5154,0.260312893,0.318816881,0.269186884,0.329685255,1.086666667,0.928571429,1.44,0.71,0.298477619,0.365558933,0.33776174,0.413671959,10.33333333,7.142857143,22,4,8.259674462,10.11599394,8.854454277,10.84444746,5.666666667,5.142857143,8,4,1.699673171,2.081665999,1.778557085,2.178278669,12.33333333,13.71428571,15,8,3.091206165,3.785938897,3.385643961,4.146550078,3.666666667,2.857142857,6,2,1.699673171,2.081665999,1.882609276,2.305716056,3.666666667,3.428571429,4,3,0.471404521,0.577350269,0.528120786,0.646813224,33.97,23.14571429,57,7.6,20.30528174,24.86878968,23.01020704,28.18163306,77.44066667,43.204,190.23,14.007,79.96091881,97.93172523,86.98216991,106.5309665,1685.383333,990.3714286,3306,63.15,1323.888462,1621.425604,1495.233162,1831.279147,2966.786667,1810.062857,5285,77.36,2164.038215,2650.394706,2453.787148,3005.263225,8.306750333,3.893286286,22.59,0.001251,10.14439154,12.42429151,11.06288139,13.54920725
120,Ru_Si_N,-1.34461639,21.66666667,14.28571429,44,7,16.04853749,19.65536398,17.66448453,21.63448683,2.38,2.594285714,3.04,1.9,0.482493523,0.590931468,0.527937844,0.646589167,966.3333333,1127.485714,1402.3,710.2,309.8447174,379.4807285,349.2475322,427.739124,2017.7,2314.028571,2856,1577.1,593.0262895,726.3059066,662.9410247,811.93362,-1.182866667,-1.3408,-0.8063,-1.6769,0.364997629,0.447028974,0.397701152,0.487082447,-4.922233333,-5.731,-3.596,-7.0898,1.545432182,1.892760139,1.744266078,2.136280933,3.0034,3.601771429,4.1526,1.1132,1.346922131,1.649635972,1.473854672,1.80509595,0.989833333,0.7892,1.4868,0.5361,0.389323741,0.476822255,0.437980262,0.53641408,1.067966667,0.841514286,1.548,0.5154,0.424665754,0.520107204,0.481270904,0.589434071,1.007733333,1.118157143,1.214,0.6473,0.255750847,0.313229538,0.2785712,0.341178648,1.04,0.925714286,1.26,0.75,0.214009346,0.262106848,0.242613323,0.297139423,0.767733333,0.712842857,1.1405,0.5154,0.269029916,0.32949301,0.274572504,0.336281266,1.093333333,0.931428571,1.46,0.71,0.306412939,0.375277675,0.346557413,0.424444415,5.666666667,5.142857143,8,4,1.699673171,2.081665999,1.778557085,2.178278669,5.666666667,5.142857143,8,4,1.699673171,2.081665999,1.778557085,2.178278669,12.33333333,13.71428571,15,8,3.091206165,3.785938897,3.385643961,4.146550078,3.333333333,2.714285714,5,2,1.247219129,1.527525232,1.392399192,1.705333769,3.666666667,3.428571429,4,3,0.471404521,0.577350269,0.528120786,0.646813224,36.63666667,24.28857143,65,7.6,23.43828824,28.70592331,26.49205186,32.44600464,47.72066667,30.46685714,101.07,14.007,38.15897488,46.73500879,41.87841099,51.29036909,1452.383333,890.5142857,2607,63.15,1051.689733,1288.051606,1192.370798,1460.35002,2679.453333,1686.92,4423,77.36,1875.095293,2296.513343,2121.580726,2598.395113,4.926750333,2.444714857,12.45,0.001251,5.403953368,6.618464173,5.94669758,7.283187363
102,Ti_C_N,-1.21901802,11.66666667,8.857142857,22,6,7.318166133,8.96288644,7.838939953,9.600701505,2.376666667,2.685714286,3.04,1.54,0.624517592,0.764874717,0.696801732,0.853404347,1049.2,1205.857143,1402.3,658.8,304.6763638,373.150814,342.5918082,419.5875601,2172.8,2491.285714,2856,1309.8,643.9097452,788.6251581,718.3682274,879.8178023,-0.699633333,-1.120042857,0.2887,-1.6769,0.802490994,0.982846729,0.90594479,1.109551236,-5.542233333,-6.168785714,-4.2515,-7.0898,1.17287659,1.436474588,1.329739592,1.628591745,2.5777,3.419614286,4.1526,-0.1659,1.947092761,2.384691873,2.121317959,2.598073291,0.9078,0.7105,1.5455,0.5361,0.452982038,0.554787428,0.49408503,0.605128106,0.896666667,0.696128571,1.5379,0.5154,0.456116625,0.558626497,0.498254858,0.610235082,0.956233333,1.092314286,1.214,0.5192,0.310686512,0.380511712,0.339181566,0.415410883,0.96,0.842857143,1.36,0.75,0.282960539,0.346554469,0.306250087,0.375078223,0.5571,0.5506,0.6367,0.5154,0.056307075,0.068961801,0.056681008,0.069419774,1.023333333,0.851428571,1.6,0.71,0.408275506,0.500033332,0.442989995,0.542549725,4.333333333,4.571428571,5,4,0.471404521,0.577350269,0.528120786,0.646813224,4.333333333,4.571428571,5,4,0.471404521,0.577350269,0.528120786,0.646813224,11,13.14285714,15,4,4.966554809,6.08276253,5.409112996,6.6247834,2.666666667,2.285714286,4,2,0.942809042,1.154700538,1.016864595,1.245399698,5,4,8,3,2.160246899,2.645751311,2.380476143,2.915475947,36.95333333,20.70285714,92,7.6,38.95253978,47.70692333,42.20637786,51.69204482,24.62833333,18.27385714,47.867,12.011,16.45241067,20.15000559,17.63692673,21.60073556,1925.766667,1391.414286,3773.15,63.15,1514.63946,1855.046911,1606.133606,1967.103897,2912.503333,2009.962857,5100.15,77.36,2101.038441,2573.236055,2286.687963,2800.609356,2.102417,1.158714857,4.506,0.001251,1.851446807,2.267549982,2.078083014,2.545121514
